query marker: '具身智能'  target: '优必选'  turns: 15
when     recalled   优必选@recall committed   优必选@commit  chars
18:10:51      128           []        76           []   2524
18:11:14      128           []        76           []   2815
18:11:42      128           []        74           []   2642
18:57:20      128           []        78           []   2386
18:57:44      128           []        75           []   2868
18:58:07      128         [37]        72           []   2340
00:42:46      128           []        77           []   2724
00:43:08      128           []        76           []   2664
00:43:30      128           []        77           []   2335
01:31:32      128         [37]        72           []   2861
01:31:55      128           []        78           []   2747
01:32:20      128         [37]        72           []   2926
01:37:42      128         [39]        71           []   2700
01:38:02      128           []        77           []   2278
01:38:24      128           []        74           []   2645

recall coverage 4/15; commit coverage 0/15
