left_company_id,left_name,left_registered_name,left_credit_code,left_website,left_legal_representative,left_address,left_industry,left_description,right_company_id,right_name,right_registered_name,right_credit_code,right_website,right_legal_representative,right_address,right_industry,right_description,system_similarity,system_prediction,human_label,human_notes
COMP-ad30bd150f20,万勋科技（深圳）,万勋科技（深圳）有限公司,,http://www.wissonrobotics.com,王峥,深圳市福田区梅林街道梅都社区中康路136号深圳新一代产业园2栋414,人工智能,万勋科技是通用软体机器人全球领航者，致力于以机器人核心技术的颠覆式创新，助力人类远离艰险繁复作业、提高生产力和工作生活体验。公司在全球范围内首创了具备强大商业化能力的通用软体机器人技术——Pliabot®柔韧技术，以“柔韧肌肉+神经元智能”双螺旋驱动，实现了机器人本体和智能系统的全栈创新，具备“类人肌体·过人能力”的特性优势，同时结合技术平台化发展，彻底突破机器人大规模普及应用所面对的适应性和成本两大瓶颈，为各行各业打造安全、灵巧、轻盈、强韧、可负担的机器人产品与解决方案，加,COMP-725680843858,万有生化智能科技（深圳）,万有生化智能科技（深圳）有限公司,,,陈其辉,深圳市坪山区坪山街道六联社区坪山大道2007号创新广场B1101-05,先进制造,色测智诊利用无电池比色传感器和AI技术，提供低成本、高便捷的疾病监测与自动化诊断服务。其基于试剂混合物融合色度和微流控技术，实现对尿液、血液、唾液、汗液的检测，操作简便，成本降低10倍以上。应用程序整合于智能设备，通过AI影像分析和AIGC，实现数据分析检测与诊断，并提供个性化健康管理。,0.7000,not_duplicate,,
COMP-ad30bd150f20,万勋科技（深圳）,万勋科技（深圳）有限公司,,http://www.wissonrobotics.com,王峥,深圳市福田区梅林街道梅都社区中康路136号深圳新一代产业园2栋414,人工智能,万勋科技是通用软体机器人全球领航者，致力于以机器人核心技术的颠覆式创新，助力人类远离艰险繁复作业、提高生产力和工作生活体验。公司在全球范围内首创了具备强大商业化能力的通用软体机器人技术——Pliabot®柔韧技术，以“柔韧肌肉+神经元智能”双螺旋驱动，实现了机器人本体和智能系统的全栈创新，具备“类人肌体·过人能力”的特性优势，同时结合技术平台化发展，彻底突破机器人大规模普及应用所面对的适应性和成本两大瓶颈，为各行各业打造安全、灵巧、轻盈、强韧、可负担的机器人产品与解决方案，加,COMP-89a631c5e09c,三农振兴科技（深圳）,三农振兴科技（深圳）有限公司,,http://www.sanongo.com,顾晋光,深圳市龙岗区平湖街道鹅公岭社区信鹅工业区27号D栋101、201、301,区块链,三农振兴科技（深圳）有限公司是一家农业服务商。旨在促进优质农产品上行，解决农村地区农业产业化发展配套服务滞后瓶颈。,0.6667,not_duplicate,,
COMP-6afde56343f0,万物智灵（深圳）科技,万物智灵（深圳）科技有限公司,,,姜昊,深圳市南山区粤海街道高新区社区高新南七道018号高新工业村R3-B栋01层309,人工智能,万物智灵是一家专注于AI情感陪伴与交互的人工智能企业。公司孵化于清华i-Space，核心产品“万物灵”结合了深度学习、自然语言处理和实时情感分析引擎等前沿技术，通过高灵敏度语音交互系统，为用户提供个性化的情感支持、文化传播与启蒙教育。依托清华大学的科研积累，万物智灵掌握了从情感识别到对话优化的全栈技术路线，自主研发的AI陪伴伙伴已实现本地化DeepSeek模型部署，精准捕捉用户情感波动，并在ppb级精度下完成多场景交互。产品广泛应用于文化传播、教育启蒙及家庭陪伴等领域，此前已,COMP-69c84e5c11fc,中科优辰（深圳）科技,中科优辰（深圳）科技有限公司,,,居鹏,深圳市龙华区龙华街道龙园社区景龙中环路424利金城商业中心B区B1栋2A72,人工智能,中科优辰（深圳）科技有限公司（中科优辰）是一家AI多维视频虚拟融合算法引擎研发商，公司连续两年国家高新技术企业认定，公司在美国创立的Hstar Technologies Corporation已获得美国中小企业科研基金及天使投资共计950万美元。 2025年，公司获得香港纵合达成科技及实业公司的战略投资。 目前团队规模达20余人，其中研发人员占比超过50%，包括多名具有海外背景的博士及工程师，形成了跨学科、高水平的研发梯队。,0.6400,not_duplicate,,
COMP-b5765e07b89a,中农美蔬（深圳）科技,中农美蔬（深圳）科技有限公司,,,陈建涛,深圳市大鹏新区大鹏街道鹏城社区鹏飞路7号B栋203,农业,中农美蔬依托中国农科院深圳农业基因组研究所，开展农业生物技术、美味番茄等蔬菜水果新品种培育，实施从消费者需求出发，从种子到田间，再回到消费者的全链模式，致力于打造农业的“三品一链”即品种、品质、品牌和区块链，帮助消费者找回“儿时的美味”。,COMP-69c84e5c11fc,中科优辰（深圳）科技,中科优辰（深圳）科技有限公司,,,居鹏,深圳市龙华区龙华街道龙园社区景龙中环路424利金城商业中心B区B1栋2A72,人工智能,中科优辰（深圳）科技有限公司（中科优辰）是一家AI多维视频虚拟融合算法引擎研发商，公司连续两年国家高新技术企业认定，公司在美国创立的Hstar Technologies Corporation已获得美国中小企业科研基金及天使投资共计950万美元。 2025年，公司获得香港纵合达成科技及实业公司的战略投资。 目前团队规模达20余人，其中研发人员占比超过50%，包括多名具有海外背景的博士及工程师，形成了跨学科、高水平的研发梯队。,0.7000,not_duplicate,,
COMP-b5765e07b89a,中农美蔬（深圳）科技,中农美蔬（深圳）科技有限公司,,,陈建涛,深圳市大鹏新区大鹏街道鹏城社区鹏飞路7号B栋203,农业,中农美蔬依托中国农科院深圳农业基因组研究所，开展农业生物技术、美味番茄等蔬菜水果新品种培育，实施从消费者需求出发，从种子到田间，再回到消费者的全链模式，致力于打造农业的“三品一链”即品种、品质、品牌和区块链，帮助消费者找回“儿时的美味”。,COMP-361ad91feff5,中科低空（深圳）智能科技,中科低空（深圳）智能科技有限公司,,,杨猛,深圳市坪山区龙田街道竹坑社区翠景路37号坪山城投智园B栋B202,先进制造,中科低空成立于2024年，是一家专注于低空空域管理以及低空飞行器运行服务保障的软、硬件研、产、销的低空服务保障的前沿高科技公司，负责承担空天院签署的有关低空飞行管理服务的项目工程化，旨在为国防、政府、企业等低空飞行管理单位和用户提供低空智能管控成体系解决方案和管理系统。,0.6364,not_duplicate,,
COMP-b5765e07b89a,中农美蔬（深圳）科技,中农美蔬（深圳）科技有限公司,,,陈建涛,深圳市大鹏新区大鹏街道鹏城社区鹏飞路7号B栋203,农业,中农美蔬依托中国农科院深圳农业基因组研究所，开展农业生物技术、美味番茄等蔬菜水果新品种培育，实施从消费者需求出发，从种子到田间，再回到消费者的全链模式，致力于打造农业的“三品一链”即品种、品质、品牌和区块链，帮助消费者找回“儿时的美味”。,COMP-da986645d819,中科琉光（深圳）科技发展,中科琉光（深圳）科技发展有限公司,,,闵于行,深圳市南山区粤海街道海珠社区海德三道199号 天利中央商务广场703A13,人工智能,中科琉光成立于2023年，是一家为企业人工智能转型与升级提供全案服务的公司，可提供一站式AI技术方案和支持，涵盖AI技能培训、AI软件系统开发及私有化AI模型部署等服务。中科琉光总部位于深圳，目前已在北京、上海、山东、江苏、福建、江西等15个省市成立了17家分公司。,0.6364,not_duplicate,,
COMP-b5765e07b89a,中农美蔬（深圳）科技,中农美蔬（深圳）科技有限公司,,,陈建涛,深圳市大鹏新区大鹏街道鹏城社区鹏飞路7号B栋203,农业,中农美蔬依托中国农科院深圳农业基因组研究所，开展农业生物技术、美味番茄等蔬菜水果新品种培育，实施从消费者需求出发，从种子到田间，再回到消费者的全链模式，致力于打造农业的“三品一链”即品种、品质、品牌和区块链，帮助消费者找回“儿时的美味”。,COMP-75b4a6d0fe55,中舟（深圳）健康科技,中舟（深圳）健康科技有限公司,,http://www.zhongzhoukeji.com.cn,陈京萍,深圳市南山区粤海街道高新区社区沙河西路1819号深圳湾科技生态园7栋B210,企业服务,中舟健康主要从事互联网医疗健康咨询服务和药品销售。智能药柜+健康商城+互联网医院，便捷购药，小病不用跑医院。,0.7000,not_duplicate,,
COMP-69c84e5c11fc,中科优辰（深圳）科技,中科优辰（深圳）科技有限公司,,,居鹏,深圳市龙华区龙华街道龙园社区景龙中环路424利金城商业中心B区B1栋2A72,人工智能,中科优辰（深圳）科技有限公司（中科优辰）是一家AI多维视频虚拟融合算法引擎研发商，公司连续两年国家高新技术企业认定，公司在美国创立的Hstar Technologies Corporation已获得美国中小企业科研基金及天使投资共计950万美元。 2025年，公司获得香港纵合达成科技及实业公司的战略投资。 目前团队规模达20余人，其中研发人员占比超过50%，包括多名具有海外背景的博士及工程师，形成了跨学科、高水平的研发梯队。,COMP-361ad91feff5,中科低空（深圳）智能科技,中科低空（深圳）智能科技有限公司,,,杨猛,深圳市坪山区龙田街道竹坑社区翠景路37号坪山城投智园B栋B202,先进制造,中科低空成立于2024年，是一家专注于低空空域管理以及低空飞行器运行服务保障的软、硬件研、产、销的低空服务保障的前沿高科技公司，负责承担空天院签署的有关低空飞行管理服务的项目工程化，旨在为国防、政府、企业等低空飞行管理单位和用户提供低空智能管控成体系解决方案和管理系统。,0.7273,not_duplicate,,
COMP-69c84e5c11fc,中科优辰（深圳）科技,中科优辰（深圳）科技有限公司,,,居鹏,深圳市龙华区龙华街道龙园社区景龙中环路424利金城商业中心B区B1栋2A72,人工智能,中科优辰（深圳）科技有限公司（中科优辰）是一家AI多维视频虚拟融合算法引擎研发商，公司连续两年国家高新技术企业认定，公司在美国创立的Hstar Technologies Corporation已获得美国中小企业科研基金及天使投资共计950万美元。 2025年，公司获得香港纵合达成科技及实业公司的战略投资。 目前团队规模达20余人，其中研发人员占比超过50%，包括多名具有海外背景的博士及工程师，形成了跨学科、高水平的研发梯队。,COMP-da986645d819,中科琉光（深圳）科技发展,中科琉光（深圳）科技发展有限公司,,,闵于行,深圳市南山区粤海街道海珠社区海德三道199号 天利中央商务广场703A13,人工智能,中科琉光成立于2023年，是一家为企业人工智能转型与升级提供全案服务的公司，可提供一站式AI技术方案和支持，涵盖AI技能培训、AI软件系统开发及私有化AI模型部署等服务。中科琉光总部位于深圳，目前已在北京、上海、山东、江苏、福建、江西等15个省市成立了17家分公司。,0.7673,not_duplicate,,
COMP-69c84e5c11fc,中科优辰（深圳）科技,中科优辰（深圳）科技有限公司,,,居鹏,深圳市龙华区龙华街道龙园社区景龙中环路424利金城商业中心B区B1栋2A72,人工智能,中科优辰（深圳）科技有限公司（中科优辰）是一家AI多维视频虚拟融合算法引擎研发商，公司连续两年国家高新技术企业认定，公司在美国创立的Hstar Technologies Corporation已获得美国中小企业科研基金及天使投资共计950万美元。 2025年，公司获得香港纵合达成科技及实业公司的战略投资。 目前团队规模达20余人，其中研发人员占比超过50%，包括多名具有海外背景的博士及工程师，形成了跨学科、高水平的研发梯队。,COMP-75b4a6d0fe55,中舟（深圳）健康科技,中舟（深圳）健康科技有限公司,,http://www.zhongzhoukeji.com.cn,陈京萍,深圳市南山区粤海街道高新区社区沙河西路1819号深圳湾科技生态园7栋B210,企业服务,中舟健康主要从事互联网医疗健康咨询服务和药品销售。智能药柜+健康商城+互联网医院，便捷购药，小病不用跑医院。,0.7000,not_duplicate,,
COMP-69c84e5c11fc,中科优辰（深圳）科技,中科优辰（深圳）科技有限公司,,,居鹏,深圳市龙华区龙华街道龙园社区景龙中环路424利金城商业中心B区B1栋2A72,人工智能,中科优辰（深圳）科技有限公司（中科优辰）是一家AI多维视频虚拟融合算法引擎研发商，公司连续两年国家高新技术企业认定，公司在美国创立的Hstar Technologies Corporation已获得美国中小企业科研基金及天使投资共计950万美元。 2025年，公司获得香港纵合达成科技及实业公司的战略投资。 目前团队规模达20余人，其中研发人员占比超过50%，包括多名具有海外背景的博士及工程师，形成了跨学科、高水平的研发梯队。,COMP-9b0a43c74d5e,云芯智汇（深圳）科技,云芯智汇（深圳）科技有限公司,,,隋聪颖,深圳市福田区福保街道福保社区桃花路6号腾飞工业大厦A栋3层311-28,人工智能,云芯智汇（深圳）科技有限公司是专业从事高端三维传感器和智能视觉系统集成与开发的高新技术企业。公司产品广泛应用于建筑锂电3C物流等行业的智能识别与检测、机器人引导定位与自动抓取等领域。,0.6400,not_duplicate,,
COMP-361ad91feff5,中科低空（深圳）智能科技,中科低空（深圳）智能科技有限公司,,,杨猛,深圳市坪山区龙田街道竹坑社区翠景路37号坪山城投智园B栋B202,先进制造,中科低空成立于2024年，是一家专注于低空空域管理以及低空飞行器运行服务保障的软、硬件研、产、销的低空服务保障的前沿高科技公司，负责承担空天院签署的有关低空飞行管理服务的项目工程化，旨在为国防、政府、企业等低空飞行管理单位和用户提供低空智能管控成体系解决方案和管理系统。,COMP-da986645d819,中科琉光（深圳）科技发展,中科琉光（深圳）科技发展有限公司,,,闵于行,深圳市南山区粤海街道海珠社区海德三道199号 天利中央商务广场703A13,人工智能,中科琉光成立于2023年，是一家为企业人工智能转型与升级提供全案服务的公司，可提供一站式AI技术方案和支持，涵盖AI技能培训、AI软件系统开发及私有化AI模型部署等服务。中科琉光总部位于深圳，目前已在北京、上海、山东、江苏、福建、江西等15个省市成立了17家分公司。,0.6667,not_duplicate,,
COMP-361ad91feff5,中科低空（深圳）智能科技,中科低空（深圳）智能科技有限公司,,,杨猛,深圳市坪山区龙田街道竹坑社区翠景路37号坪山城投智园B栋B202,先进制造,中科低空成立于2024年，是一家专注于低空空域管理以及低空飞行器运行服务保障的软、硬件研、产、销的低空服务保障的前沿高科技公司，负责承担空天院签署的有关低空飞行管理服务的项目工程化，旨在为国防、政府、企业等低空飞行管理单位和用户提供低空智能管控成体系解决方案和管理系统。,COMP-75b4a6d0fe55,中舟（深圳）健康科技,中舟（深圳）健康科技有限公司,,http://www.zhongzhoukeji.com.cn,陈京萍,深圳市南山区粤海街道高新区社区沙河西路1819号深圳湾科技生态园7栋B210,企业服务,中舟健康主要从事互联网医疗健康咨询服务和药品销售。智能药柜+健康商城+互联网医院，便捷购药，小病不用跑医院。,0.6364,not_duplicate,,
